id_joueur,nom_joueur,position,nationalite,id_equipe
343,Myles Peart-Harris,MF,eng ENG,11
402,Naouirou Ahamada,MF,fr FRA,22
540,Nasser Djiga,DF,bf BFA,57
86,Nathan Aké,DF,nl NED,32
649,Nathan Broadhead,"MF,FW",wls WAL,27
52,Nathan Butler-Oyedeji,FW,eng ENG,3
310,Nathan Collins,DF,ie IRL,11
430,Nathan Patterson,DF,sct SCO,24
682,Nathan Wood-Gordon,DF,eng ENG,45
388,Nathaniel Clyne,"DF,MF",eng ENG,22
440,Neal Maupay,"FW,MF",fr FRA,24
211,Neco Williams,DF,wls WAL,38
61,Neto,GK,br BRA,3
292,Neto,GK,br BRA,10
147,Nick Pope,GK,eng ENG,36
465,Niclas Füllkrug,FW,de GER,55
89,Nico O’Reilly,DF,eng ENG,32
110,Nicolas Jackson,FW,sn SEN,18
213,Nicolás Domínguez,"MF,FW",ar ARG,38
85,Nicolás González,MF,es ESP,32
204,Nikola Milenković,DF,rs SRB,38
111,Noni Madueke,FW,eng ENG,18
476,Noussair Mazraoui,DF,ma MAR,33
517,Nélson Semedo,DF,pt POR,57
393,Odsonne Édouard,"MF,FW",fr FRA,22
619,Odsonne Édouard,FW,fr FRA,28
168,Odysseas Vlachodimos,GK,gr GRE,36
206,Ola Aina,DF,ng NGA,38
621,Olabade Aluko,DF,Inconnu,28
50,Oleksandr Zinchenko,"DF,MF",ua UKR,3
464,Oliver Scarles,"DF,FW",eng ENG,55
608,Oliver Skipp,MF,eng ENG,28
202,Oliwier Zych,GK,pl POL,4
173,Ollie Watkins,FW,eng ENG,4
82,Omar Marmoush,"FW,MF",eg EGY,32
634,Omari Hutchinson,"MF,FW",eng ENG,27
425,Orel Mangala,MF,be BEL,24
95,Oscar Bobb,FW,no NOR,32
583,Oyindamola Ajayi,MF,eng ENG,50
531,Pablo Sarabia,"MF,FW",es ESP,57
559,Pape Matar Sarr,MF,sn SEN,50
491,Patrick Dorgu,DF,dk DEN,33
612,Patson Daka,"FW,MF",zm ZAM,28
177,Pau Torres,DF,es ESP,4
681,Paul Onuachu,FW,ng NGA,45
539,Pedro Lima,DF,br BRA,57
112,Pedro Neto,FW,pt POR,18
552,Pedro Porro,DF,es ESP,50
234,Pervis Estupiñán,DF,ec ECU,12
78,Phil Foden,"MF,FW",eng ENG,32
294,Philip Billing,MF,dk DEN,10
567,Radu Drăgușin,DF,ro ROU,50
48,Raheem Sterling,"FW,MF",eng ENG,3
222,Ramón Sosa,"FW,MF",py PAR,38
480,Rasmus Højlund,FW,dk DEN,33
515,Rayan Aït-Nouri,DF,dz ALG,57
349,Raúl Jiménez,FW,mx MEX,26
117,Reece James,"DF,MF",eng ENG,18
444,Reece Welch,DF,eng ENG,24
362,Reiss Nelson,FW,eng ENG,26
54,Reiss Nelson,FW,eng ENG,3
406,Remi Matthews,GK,eng ENG,22
299,Remy Rees-Dottin,FW,eng ENG,10
128,Renato Veiga,"DF,MF",pt POR,18
614,Ricardo Pereira,DF,pt POR,28
44,Riccardo Calafiori,DF,it ITA,3
576,Richarlison,FW,br BRA,50
331,Rico Henry,DF,eng ENG,11
76,Rico Lewis,"DF,MF",eng ENG,32
403,Rob Holding,DF,eng ENG,22
109,Robert Sánchez,GK,es ESP,18
194,Robin Olsen,GK,se SWE,4
93,Rodri,MF,es ESP,32
561,Rodrigo Bentancur,MF,uy URU,50
532,Rodrigo Gomes,"DF,FW",pt POR,57
360,Rodrigo Muniz,FW,br BRA,26
392,Romain Esse,MF,eng ENG,22
432,Roman Dixon,DF,eng ENG,24
119,Roméo Lavia,MF,be BEL,18
699,Ronnie Edwards,DF,eng ENG,45
191,Ross Barkley,MF,eng ENG,4
688,Ross Stewart,FW,sct SCO,45
265,Ruairi Mcconville,DF,nir NIR,12
279,Ryan Christie,MF,sct SCO,10
689,Ryan Fraser,"FW,DF",sct SCO,45
3,Ryan Gravenberch,MF,nl NED,30
674,Ryan Manning,"DF,MF",ie IRL,45
361,Ryan Sessegnon,"FW,DF",eng ENG,26
337,Ryan Trevitt,MF,eng ENG,11
214,Ryan Yates,MF,eng ENG,38
72,Rúben Dias,DF,pt POR,32
64,Salah Oulad M'Hand,MF,nl NED,3
533,Sam Johnstone,GK,eng ENG,57
404,Sam Johnstone,GK,eng ENG,22
633,Sam Morsy,MF,eg EGY,27
643,Sammie Szmodics,"FW,MF",ie IRL,27
624,Sammy Braybrooke,MF,eng ENG,28
371,Samuel Amissah,DF,eng ENG,26
697,Samuel Amo-Ameyaw,"FW,DF",eng ENG,45
696,Samuel Edozie,"DF,FW",eng ENG,45
137,Samuel Rak-Sakyi,MF,eng ENG,18
352,Sander Berge,MF,no NOR,26
146,Sandro Tonali,MF,it ITA,36
525,Santiago Bueno,DF,uy URU,57
351,Saša Lukić,MF,rs SRB,26
100,Scott Carson,GK,eng ENG,32
504,Scott McTominay,MF,sct SCO,33
154,Sean Longstaff,MF,eng ENG,36
165,Sean Neave,FW,eng ENG,36
510,Sekou Koné,MF,ml MLI,33
317,Sepp van den Berg,DF,nl NED,11
578,Sergio Reguilón,DF,es ESP,50
132,Shumaira Mheuka,MF,eng ENG,18
200,Sil Swinkels,DF,nl NED,4
243,Simon Adingra,"FW,MF",ci CIV,12
256,Solly March,"FW,MF",eng ENG,12
662,Somto Boniface,DF,eng ENG,27
557,Son Heung-min,FW,kr KOR,50
83,Stefan Ortega,GK,de GER,32
603,Stephy Mavididi,FW,eng ENG,28
372,Steven Benda,GK,de GER,26
155,Sven Botman,DF,nl NED,36
